Agent ID,Agent Name,Description,
107,Notice Builder,Drafts polite notices for things like delays or rescheduling.,"53, 98"
108,Mood Balancer,Looks for mood swings in my day and helps smooth them out.,"3, 35"
109,Quick Planner,Pulls together a basic plan for a day when I'm feeling overwhelmed.,"34, 42, 97"
110,Focus Builder,Sets up a focused environment and encourages me to stay in it.,"56, 77, 81, 86"
111,Daily Anchor,Helps me start and end my day with structure and intention.,"47, 81, 88, 98"
112,Gift Reminder,Lets me know when a birthday or event is coming up and suggests gifts.,"57, 97"
113,Backup Creator,Helps me back up important files before deadlines or transitions.,"18, 25, 26, 88"
114,Info Extractor,"Pulls out key info from articles, messages, or PDFs.","17, 28, 45, 64"
115,Question Catcher,Notices when someone asks me for something and reminds me to reply.,"8, 41, 46, 51, 89"
116,Waitlist Monitor,Watches for when something I signed up for becomes available.,"21, 31, 43, 69"
117,Loop Closer,Reminds me to finish things I've started but left hanging.,"2, 28, 53, 98"
118,Shared Space Tracker,Helps manage shared work or home spaces fairly.,"20, 43"
119,App Usage Reporter,Shows me which apps I spend the most time in and suggests changes.,"22, 88"
120,Connection Notifier,Lets me know when I haven't talked to someone important in a while.,"4, 10, 14, 84, 88"
121,Timer Adjuster,Changes timers and reminders based on how long I'm actually taking.,"21, 87"
122,Outfit Organizer,Sorts my wardrobe by occasion and season so I can pick quickly.,"45, 91"
123,Deadline Calibrator,Adjusts my working schedule to help meet upcoming deadlines.,"5, 19, 80"
124,Search Refiner,Helps me search smarter by clarifying what I'm actually looking for.,"4, 40, 53, 57, 83"
125,Account Watchdog,Keeps an eye on my accounts for unusual charges or issues.,"34, 47, 81, 91, 99"
126,Break Scheduler,Finds natural points in my schedule to take a meaningful break.,"18, 19, 27"
127,Typing Assistant,Catches grammar issues and helps write things faster.,"32, 46, 53, 79, 100"
128,Page Skimmer,Gives me the main takeaways from long pages or documents.,"13, 22, 36, 41, 65"
129,Light Coach,Adjusts screen and room lighting to help match my energy.,"10, 34, 36, 90"
130,Focus Switcher,Smoothly transitions me between tasks so I don't lose momentum.,"56, 94, 100"
131,Errand Balancer,Distributes errands across the week based on free time.,"46, 58, 86"
132,Quiet Window Finder,Finds the best time of day for deep work based on noise and calendar.,"15, 24"
133,Energy Rebooter,Suggests fast ways to recharge when I'm dragging.,"18, 22, 42, 50, 81"
134,Inbox Defuzzer,Finds vague emails and drafts clear responses.,"16, 29, 31, 51, 100"
135,Chore Syncer,Coordinates household chores so nothing gets missed.,"7, 19, 53"
136,Procrastination Flag,Spots when I'm stalling and nudges me back into motion.,"43, 93, 94"
137,Digital Cleanup,"Suggests files, apps, or messages I can archive or delete.","62, 100"
138,Repetition Cutter,Notices tasks I'm doing over and over and suggests shortcuts.,"37, 82, 89, 93"
139,Sound Curator,Picks music or background noise that helps with focus or relaxation.,"13, 20, 82"
140,Schedule Explainer,Tells me why my day looks the way it does.,"9, 25, 93"
141,Errand Prioritizer,Tells me which tasks to do first based on traffic and urgency.,"61, 64, 90, 91"
142,Micro Planner,"Helps me plan tiny things I usually forget, like watering plants or charging devices.","14, 33, 50, 56, 68"
143,Snapshot Reporter,Summarizes how my week went and what changed.,"10, 29, 72"
144,Mood Nudger,Encourages small actions when I seem stuck in a funk.,"22, 42, 45, 93, 98"
145,Time Budgeter,Helps me stick to time limits I set for certain tasks.,"17, 44, 52, 77, 83"
146,Decision Buffer,Gives me a pause before reacting or replying to things emotionally.,"20, 27, 34, 42"
147,Day Starter,Helps me kick off each day with a plan and a reminder of my top goals.,"3, 10, 38, 46, 80"
148,Routine Checker,Keeps track of daily habits and lets me know when I'm slipping.,"55, 89"
149,Travel Replanner,Fixes my trip when plans fall through and finds smart alternatives.,"30, 81"
150,Update Scheduler,Spreads out updates or renewals so I don't get overwhelmed at once.,"22, 50, 58"
151,Quiet Alert,Lets others know when I'm in focus mode and manages interruptions.,"7, 31, 64, 90"
152,Backup Minder,Reminds me to save copies of important files before key moments.,"18, 37, 38, 81"
153,Late Reminder,Notifies me if I've missed a deadline or forgot to check something.,"16, 18, 23"
154,Smart Clipper,Clips useful info from the web and stores it where I can find it later.,"86, 89"
155,Task Closer,Watches for tasks that keep getting postponed and helps me wrap them up.,"18, 80, 95"
156,Mood Refresher,Gives me ideas to reset when I'm stuck or dragging through the day.,"2, 4, 92"
157,Meeting Recapper,Tells me what happened in meetings I missed or zoned out during.,"22, 82"
158,Daily Decompressor,Suggests wind-down activities at the end of my day.,"12, 80, 83"
159,Role Tracker,Keeps tabs on my different responsibilities across work and personal life.,"33, 37, 44, 60"
160,Social Catchup,Reminds me to check in with friends or contacts I haven't heard from in a while.,"3, 39, 53"
161,Bill Split Helper,Helps divide bills and expenses fairly in shared living situations.,"34, 55, 69"
162,Packing Planner,"Builds a packing list based on weather, events, and trip length.","59, 66, 77, 88"
163,Crowd Avoider,Finds quieter times or routes when I need to avoid busy places.,"7, 11, 47"
164,Mind Cleanser,Offers quick mental resets when I've been overloaded.,"14, 45, 65, 83"
165,Checklist Builder,Helps me build a checklist anytime I feel overwhelmed.,"33, 45, 46"
166,Context Catcher,Picks up where I left off after switching between tasks.,"11, 27, 75"
167,Inbox Organizer,Sorts emails into relevant categories and flags messages that need quick responses.,"13, 18"
168,File Renamer,Automatically renames downloaded files so I can find them later.,"24, 33, 51"
169,Smart Archiver,"Moves old files, messages, and notes to the right archive folder when I'm done with them.","12, 84, 97"
170,Noise Notifier,Notifies me when background noise is likely to distract me and suggests how to manage it.,"20, 23, 58, 62, 97"
171,Break Timer,Keeps track of how long I've been working and suggests well-timed breaks.,"6, 51"
172,Priority Refiner,Helps me fine-tune what to work on next when everything feels urgent.,"1, 87, 91"
173,Sleep Tracker,Monitors my sleep habits and suggests changes based on how I feel during the day.,"51, 61, 72"
174,Space Reset,Reminds me to tidy my digital or physical workspace when things get too messy.,"6, 20, 90"
175,Link Sorter,Organizes saved links by topic and reminds me to revisit useful ones.,"19, 77"
176,Recurring Task Manager,Spots patterns and helps set up recurring reminders for regular tasks.,"10, 44, 53, 56, 61"
177,Pace Adjuster,Helps me speed up or slow down a project based on remaining time.,"2, 24, 71, 77, 82"
178,Question Reminder,Keeps track of questions I wanted to ask others and follows up if I forget.,"7, 18, 42, 67, 72"
179,Typing Tracker,Notices when I'm writing a lot and offers suggestions to make it easier.,"20, 26, 60, 91"
180,Tab Organizer,Groups open tabs into sessions I can return to later without losing focus.,"5, 10, 53, 63"
181,Focus Trigger,Starts my focus routine when it notices I'm about to begin deep work.,"39, 76, 83"
182,Meal Reminder,Lets me know when I've skipped meals or might want to pause for food.,"17, 30, 89, 95"
183,Read Later Saver,Catches articles I don't have time for and saves them neatly for later.,"55, 68, 82"
184,Mic Check Assistant,Checks audio settings before calls and flags potential mic issues.,"42, 76, 80"
185,Goal Translator,Helps me break abstract goals into real-world actions.,"21, 35, 37"
186,Tone Advisor,Reviews my messages and gives suggestions if they sound too harsh or unclear.,"21, 64"
187,Event Prepper,Helps me prepare for upcoming meetings or events by summarizing what I need to know.,"29, 53, 63"
188,Sync Checker,Notifies me if documents or files are out of sync between devices.,"63, 82, 88"
189,Status Reporter,Gives quick updates on my overall progress toward weekly goals.,"46, 72, 75, 78, 99"
190,Learning Tracker,Keeps track of skills I'm trying to build and reminds me to practice.,"16, 17"
191,Break Suggestor,"Suggests fun, low-effort breaks to recharge when I've been working a while.","30, 66"
192,Context Catch-Up,Briefs me on where I left off when returning to paused work.,"1, 42"
193,Quiet Requester,Helps me block out time in shared calendars when I need deep focus.,"48, 96"
194,Note Sharer,Packages up my notes and shares them cleanly with collaborators.,"6, 15, 16, 70"
195,Reminder Router,Sends reminders to the right device based on where I am.,"68, 74, 88, 96"
196,Sleep Scheduler,Adjusts alarms and sleep routines based on my next-day schedule.,"61, 80, 86"
197,Clarity Notifier,Lets me know when my calendar or task list is unclear or inconsistent.,"12, 87, 92"
198,Idea Catcher,Captures random ideas throughout the day and organizes them.,"64, 68, 72, 82"
199,Reboot Planner,Helps me plan how to get back on track after falling behind.,"7, 71"
200,Travel Tagger,"Sorts and labels travel receipts, confirmations, and docs automatically.","36, 67"
